,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,artists,song_title,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,cluster
10,0.681,0.373,2,-13.2,1,0.0568,0.633,0.00113,0.0751,0.623,123.423,audio_features,0DcrhZ12WcCqruCs8ibXSf,spotify:track:0DcrhZ12WcCqruCs8ibXSf,https://api.spotify.com/v1/tracks/0DcrhZ12WcCqruCs8ibXSf,https://api.spotify.com/v1/audio-analysis/0DcrhZ12WcCqruCs8ibXSf,164733,4,Johnny Nash,I Can See Clearly Now - Edit,0.21884399453218248,-0.9658864316076913,-0.8838019499519164,-0.36247813327945544,1.116026033405162,-0.4114557026517589,-0.7025715967953149,0.4000014945324561,0.11748777616763302,-0.6474955181232066,2
11,0.588,0.576,6,-6.945,0,0.0367,0.218,0.0357,0.172,0.66,129.155,audio_features,7DFA3k0QQtvAkItuNAwKh4,spotify:track:7DFA3k0QQtvAkItuNAwKh4,https://api.spotify.com/v1/tracks/7DFA3k0QQtvAkItuNAwKh4,https://api.spotify.com/v1/audio-analysis/7DFA3k0QQtvAkItuNAwKh4,436840,4,Monophonics,Last One Standing,-0.3878483955909545,-0.0568765749324572,0.3222400467157492,-0.5760848048736529,-0.25446153040667097,-0.28456865540828685,0.00826667872354085,0.5553246660621276,0.3228409415440079,2.9658994440069035,4
12,0.49,0.569,1,-8.401,1,0.246,0.287,0.0,0.365,0.43,147.369,audio_features,5N7s7nhywtONPI5FJhabAP,spotify:track:5N7s7nhywtONPI5FJhabAP,https://api.spotify.com/v1/tracks/5N7s7nhywtONPI5FJhabAP,https://api.spotify.com/v1/audio-analysis/5N7s7nhywtONPI5FJhabAP,229600,3,The Main Squeeze,Sunday Morning,-1.0271586561508186,-0.08822174240401703,0.041505091136513246,1.6481876510798557,-0.026597333050004848,-0.4156032977742676,1.4240745959076397,-0.4101977515547488,0.9753710452015955,0.21389390224633137,0
13,0.575,0.731,1,-7.876,1,0.168,0.0114,3.97e-06,0.351,0.694,125.44,audio_features,16ZNz0wXDJERo4zquNPw7x,spotify:track:16ZNz0wXDJERo4zquNPw7x,https://api.spotify.com/v1/tracks/16ZNz0wXDJERo4zquNPw7x,https://api.spotify.com/v1/audio-analysis/16ZNz0wXDJERo4zquNPw7x,179640,4,Jr. Walker & The All Stars,How Sweet It Is (To Be Loved By You),-0.4726548587264468,0.6371949905092242,0.14273163761941074,0.8192662389232687,-0.936733170607935,-0.41558872613476633,1.3213735034694147,0.6980540669272308,0.18974830208601182,-0.44954074775539704,0
14,0.758,0.364,9,-7.491,0,0.0548,0.623,5.96e-06,0.138,0.533,95.619,audio_features,4SgWwPLqJ08Y1HuoIpFJX4,spotify:track:4SgWwPLqJ08Y1HuoIpFJX4,https://api.spotify.com/v1/tracks/4SgWwPLqJ08Y1HuoIpFJX4,https://api.spotify.com/v1/audio-analysis/4SgWwPLqJ08Y1HuoIpFJX4,137320,4,Lady Wray,In Love (Don't Mess Things Up),0.7211591992577898,-1.0061873612139824,0.2169644383735358,-0.3837325284629577,1.0830022366868044,-0.415581421962825,-0.24115026005500487,0.022188374595417705,-0.8786112137354947,-1.0115214200546994,2
15,0.675,0.597,5,-11.329,1,0.0337,0.0534,0.0,0.0986,0.828,108.875,audio_features,2eF8pWbiivYsYRpbntYsnc,spotify:track:2eF8pWbiivYsYRpbntYsnc,https://api.spotify.com/v1/tracks/2eF8pWbiivYsYRpbntYsnc,https://api.spotify.com/v1/audio-analysis/2eF8pWbiivYsYRpbntYsnc,161160,4,Stevie Wonder,"Signed, Sealed, Delivered (I'm Yours)",0.1797025500081091,0.03715892748222229,-0.5230498195338187,-0.6079663976489063,-0.798033224390834,-0.4156032977742676,-0.5301804773454376,1.2605758232779327,-0.4037051494945272,-0.6949425158104799,4
16,0.595,0.379,10,-12.058,0,0.0454,0.271,2.81e-05,0.1,0.448,92.006,audio_features,7MF7QAodbGzNYav5ZfIhAY,spotify:track:7MF7QAodbGzNYav5ZfIhAY,https://api.spotify.com/v1/tracks/7MF7QAodbGzNYav5ZfIhAY,https://api.spotify.com/v1/audio-analysis/7MF7QAodbGzNYav5ZfIhAY,279333,4,Gladys Knight & The Pips,Midnight Train to Georgia,-0.3421833769795356,-0.939019145203497,-0.6636101097929278,-0.48362818582541817,-0.07943540779937658,-0.41550015846192906,-0.5199103681016151,-0.334635127567341,-1.0080496272918176,0.874314147413184,2
17,0.67,0.596,3,-9.347,1,0.0627,0.852,0.00203,0.653,0.813,133.396,audio_features,0DICNd5XQ1og9UeYzxoNFV,spotify:track:0DICNd5XQ1og9UeYzxoNFV,https://api.spotify.com/v1/tracks/0DICNd5XQ1og9UeYzxoNFV,https://api.spotify.com/v1/audio-analysis/0DICNd5XQ1og9UeYzxoNFV,165760,4,Dinah Washington,Baby (You've Got What It Takes),0.14708467957138133,0.0326810464148566,-0.1408955050021936,-0.2997776674881238,1.8392471815371891,-0.4081523083063981,3.536782783208264,1.1976069699550929,0.4747779224165136,-0.6338576601257732,0
18,0.562,0.821,5,-5.082,1,0.0277,0.3,0.0,0.519,0.893,105.512,audio_features,6CgsttSWDA2sISZQp1upXK,spotify:track:6CgsttSWDA2sISZQp1upXK,https://api.spotify.com/v1/tracks/6CgsttSWDA2sISZQp1upXK,https://api.spotify.com/v1/audio-analysis/6CgsttSWDA2sISZQp1upXK,181535,4,Yola,I Don't Wanna Lie,-0.5574613218619383,1.040204286572136,0.6814496773779173,-0.6717295831994129,0.016333602683859832,-0.4156032977742676,2.553786612728113,1.5334408543435718,-0.5241871270173375,-0.4243764430765885,0
19,0.684,0.482,5,-9.234,1,0.0371,0.778,0.000351,0.148,0.749,123.532,audio_features,7F1eoVZd2ySSJ70iP3PN1m,spotify:track:7F1eoVZd2ySSJ70iP3PN1m,https://api.spotify.com/v1/tracks/7F1eoVZd2ySSJ70iP3PN1m,https://api.spotify.com/v1/audio-analysis/7F1eoVZd2ySSJ70iP3PN1m,178373,4,Jackie Wilson,I Get The Sweetest Feeling,0.23841471679421916,-0.47779739526483156,-0.11910769594968432,-0.5718339258369524,1.5948710858213444,-0.41431497397957684,-0.16779233688484443,0.92893986244431,0.12139278227824428,-0.4663656417015978,2
